Date,State,Confirmed
30-01-2020,Kerala,1
30-01-2020,India,1
02-02-2020,Kerala,2
02-02-2020,India,2
03-02-2020,Kerala,3
03-02-2020,India,3
14-02-2020,Kerala,3
14-02-2020,India,3
02-03-2020,Delhi,1
02-03-2020,Kerala,3
02-03-2020,Telangana,1
02-03-2020,India,5
03-03-2020,Delhi,1
03-03-2020,Kerala,3
03-03-2020,Rajasthan,1
03-03-2020,Telangana,1
03-03-2020,India,6
04-03-2020,Delhi,1
04-03-2020,Haryana,14
04-03-2020,Kerala,3
04-03-2020,Rajasthan,2
04-03-2020,Telangana,1
04-03-2020,India,28
04-03-2020,Uttar Pradesh,7
05-03-2020,Delhi,2
05-03-2020,Haryana,14
05-03-2020,Kerala,3
05-03-2020,Rajasthan,2
05-03-2020,Telangana,1
05-03-2020,India,30
05-03-2020,Uttar Pradesh,8
06-03-2020,Delhi,3
06-03-2020,Haryana,14
06-03-2020,Kerala,3
06-03-2020,Rajasthan,2
06-03-2020,Telangana,1
06-03-2020,India,31
06-03-2020,Uttar Pradesh,8
07-03-2020,Delhi,3
07-03-2020,Haryana,14
07-03-2020,Kerala,3
07-03-2020,Ladakh,2
07-03-2020,Rajasthan,2
07-03-2020,Telangana,1
07-03-2020,Tamil Nadu,1
07-03-2020,India,34
07-03-2020,Uttar Pradesh,8
08-03-2020,Delhi,3
08-03-2020,Haryana,14
08-03-2020,Kerala,8
08-03-2020,Ladakh,2
08-03-2020,Rajasthan,2
08-03-2020,Telangana,1
08-03-2020,Tamil Nadu,1
08-03-2020,India,39
08-03-2020,Uttar Pradesh,8
09-03-2020,Delhi,4
09-03-2020,Haryana,14
09-03-2020,Jammu and Kashmir,1
09-03-2020,Karnataka,1
09-03-2020,Kerala,9
09-03-2020,Ladakh,2
09-03-2020,Maharashtra,2
09-03-2020,Punjab,1
09-03-2020,Rajasthan,2
09-03-2020,Telangana,1
09-03-2020,Tamil Nadu,1
09-03-2020,India,48
09-03-2020,Uttar Pradesh,10
10-03-2020,Delhi,4
10-03-2020,Haryana,14
