district_name,Month,total_cases
BAGALKOT,01,1988
BAGALKOT,02,2026
BAGALKOT,03,1709
BAGALKOT,04,2078
BAGALKOT,05,1142
BAGALKOT,06,2244
BAGALKOT,07,2621
BAGALKOT,08,2025
BAGALKOT,09,1752
BAGALKOT,10,1833
BAGALKOT,11,1798
BAGALKOT,12,2167
BALLARI,01,4029
BALLARI,02,3798
BALLARI,03,3914
BALLARI,04,4228
BALLARI,05,1903
BALLARI,06,3971
BALLARI,07,4526
BALLARI,08,4212
BALLARI,09,3819
BALLARI,10,3369
BALLARI,11,2821
BALLARI,12,3374
BELAGAVI,01,7650
BELAGAVI,02,7612
BELAGAVI,03,6770
BELAGAVI,04,7226
BELAGAVI,05,3788
BELAGAVI,06,6424
BELAGAVI,07,8825
BELAGAVI,08,7110
BELAGAVI,09,7822
BELAGAVI,10,5900
BELAGAVI,11,5690
BELAGAVI,12,8220
BENGALURU,01,22215
BENGALURU,02,17922
BENGALURU,03,18013
BENGALURU,04,18726
BENGALURU,05,13040
BENGALURU,06,17246
BENGALURU,07,17596
BENGALURU,08,17255
BENGALURU,09,17132
BENGALURU,10,16177
BENGALURU,11,16828
BENGALURU,12,22124
BENGALURU RURAL,01,5034
BENGALURU RURAL,02,4418
BENGALURU RURAL,03,4405
BENGALURU RURAL,04,4134
BENGALURU RURAL,05,2268
BENGALURU RURAL,06,4247
BENGALURU RURAL,07,5033
BENGALURU RURAL,08,5163
BENGALURU RURAL,09,4601
BENGALURU RURAL,10,4616
BENGALURU RURAL,11,4765
BENGALURU RURAL,12,6329
BIDAR,01,2342
BIDAR,02,2707
BIDAR,03,2445
BIDAR,04,3304
BIDAR,05,1224
BIDAR,06,2135
BIDAR,07,2817
BIDAR,08,2551
BIDAR,09,2444
BIDAR,10,1778
BIDAR,11,2063
BIDAR,12,2423
CHAMRAJNAGAR,01,1534
CHAMRAJNAGAR,02,1061
CHAMRAJNAGAR,03,1249
CHAMRAJNAGAR,04,1478
CHAMRAJNAGAR,05,1286
CHAMRAJNAGAR,06,1619
CHAMRAJNAGAR,07,1572
CHAMRAJNAGAR,08,1294
CHAMRAJNAGAR,09,1261
CHAMRAJNAGAR,10,1174
CHAMRAJNAGAR,11,1283
CHAMRAJNAGAR,12,1264
CHIKKABALLAPUR,01,2031
CHIKKABALLAPUR,02,1649
CHIKKABALLAPUR,03,1651
CHIKKABALLAPUR,04,1865
CHIKKABALLAPUR,05,1000
CHIKKABALLAPUR,06,1763
CHIKKABALLAPUR,07,2354
CHIKKABALLAPUR,08,2054
CHIKKABALLAPUR,09,1803
CHIKKABALLAPUR,10,1572
CHIKKABALLAPUR,11,1664
CHIKKABALLAPUR,12,1811
CHIKKAMAGALURU,01,1919
CHIKKAMAGALURU,02,1613
CHIKKAMAGALURU,03,1464
CHIKKAMAGALURU,04,2085
CHIKKAMAGALURU,05,1003
CHIKKAMAGALURU,06,2079
CHIKKAMAGALURU,07,1902
CHIKKAMAGALURU,08,2090
CHIKKAMAGALURU,09,1995
CHIKKAMAGALURU,10,1756
CHIKKAMAGALURU,11,1603
CHIKKAMAGALURU,12,1799
CHITRADURGA,01,3507
CHITRADURGA,02,1809
CHITRADURGA,03,1562
CHITRADURGA,04,2077
CHITRADURGA,05,1219
CHITRADURGA,06,2736
CHITRADURGA,07,2665
CHITRADURGA,08,2464
CHITRADURGA,09,1917
CHITRADURGA,10,1889
CHITRADURGA,11,1879
CHITRADURGA,12,2459
DAKSHINA KANNADA,01,5087
DAKSHINA KANNADA,02,4729
DAKSHINA KANNADA,03,4669
DAKSHINA KANNADA,04,4572
DAKSHINA KANNADA,05,3032
DAKSHINA KANNADA,06,3555
DAKSHINA KANNADA,07,4403
DAKSHINA KANNADA,08,4521
DAKSHINA KANNADA,09,4666
DAKSHINA KANNADA,10,3917
DAKSHINA KANNADA,11,3854
DAKSHINA KANNADA,12,4722
DAVANGERE,01,2501
DAVANGERE,02,2121
DAVANGERE,03,1843
DAVANGERE,04,2369
DAVANGERE,05,1429
DAVANGERE,06,2271
DAVANGERE,07,3168
DAVANGERE,08,2924
DAVANGERE,09,3070
DAVANGERE,10,2223
DAVANGERE,11,2358
DAVANGERE,12,2436
DHARWAD,01,3261
DHARWAD,02,2933
DHARWAD,03,3442
DHARWAD,04,3482
DHARWAD,05,2280
DHARWAD,06,3409
DHARWAD,07,3587
DHARWAD,08,3415
DHARWAD,09,2697
DHARWAD,10,2949
DHARWAD,11,3135
DHARWAD,12,3475
GADAG,01,1228
GADAG,02,1021
GADAG,03,1337
GADAG,04,1037
GADAG,05,689
GADAG,06,1661
GADAG,07,2287
GADAG,08,1510
GADAG,09,1053
GADAG,10,1076
GADAG,11,941
GADAG,12,1202
HASSAN,01,3630
HASSAN,02,3205
HASSAN,03,3194
HASSAN,04,3045
HASSAN,05,1858
HASSAN,06,4213
HASSAN,07,4441
HASSAN,08,3467
HASSAN,09,3080
HASSAN,10,3193
HASSAN,11,2898
HASSAN,12,3590
HAVERI,01,2111
HAVERI,02,1778
HAVERI,03,1536
HAVERI,04,1743
HAVERI,05,883
HAVERI,06,2042
HAVERI,07,2275
HAVERI,08,1964
HAVERI,09,1882
HAVERI,10,1588
HAVERI,11,1547
HAVERI,12,1819
KALABURAGI,01,2952
KALABURAGI,02,2299
KALABURAGI,03,2605
KALABURAGI,04,2347
KALABURAGI,05,958
KALABURAGI,06,2801
KALABURAGI,07,2908
KALABURAGI,08,2497
KALABURAGI,09,2332
KALABURAGI,10,2285
KALABURAGI,11,2079
KALABURAGI,12,2694
KODAGU,01,1060
KODAGU,02,809
KODAGU,03,950
KODAGU,04,1013
KODAGU,05,564
KODAGU,06,886
KODAGU,07,1176
KODAGU,08,748
KODAGU,09,877
KODAGU,10,709
KODAGU,11,801
KODAGU,12,698
KOLAR,01,2039
KOLAR,02,1781
KOLAR,03,1817
KOLAR,04,1617
KOLAR,05,959
KOLAR,06,1556
KOLAR,07,2216
KOLAR,08,2966
KOLAR,09,1633
KOLAR,10,1468
KOLAR,11,1577
KOLAR,12,1800
KOPPAL,01,1626
KOPPAL,02,1461
KOPPAL,03,1581
KOPPAL,04,1553
KOPPAL,05,996
KOPPAL,06,1775
KOPPAL,07,1918
KOPPAL,08,1655
KOPPAL,09,1243
KOPPAL,10,1419
KOPPAL,11,1252
KOPPAL,12,1156
MANDYA,01,3426
MANDYA,02,3007
MANDYA,03,3444
MANDYA,04,3052
MANDYA,05,1923
MANDYA,06,3063
MANDYA,07,3490
MANDYA,08,2862
MANDYA,09,3035
MANDYA,10,2789
MANDYA,11,2207
MANDYA,12,2665
MYSURU,01,5596
MYSURU,02,5277
MYSURU,03,4787
MYSURU,04,4896
MYSURU,05,3658
MYSURU,06,4905
MYSURU,07,6428
MYSURU,08,4832
MYSURU,09,4985
MYSURU,10,4356
MYSURU,11,4409
MYSURU,12,5164
RAICHUR,01,2133
RAICHUR,02,2003
RAICHUR,03,1991
RAICHUR,04,2084
RAICHUR,05,1480
RAICHUR,06,2319
RAICHUR,07,2393
RAICHUR,08,1999
RAICHUR,09,1596
RAICHUR,10,1431
RAICHUR,11,1536
RAICHUR,12,1619
RAMANAGARAM,01,1303
RAMANAGARAM,02,1618
RAMANAGARAM,03,1281
RAMANAGARAM,04,1444
RAMANAGARAM,05,609
RAMANAGARAM,06,1229
RAMANAGARAM,07,1492
RAMANAGARAM,08,1279
RAMANAGARAM,09,1420
RAMANAGARAM,10,1240
RAMANAGARAM,11,1117
RAMANAGARAM,12,1350
SHIVAMOGGA,01,3111
SHIVAMOGGA,02,2943
SHIVAMOGGA,03,2639
SHIVAMOGGA,04,2960
SHIVAMOGGA,05,1985
SHIVAMOGGA,06,3346
SHIVAMOGGA,07,3772
SHIVAMOGGA,08,3845
SHIVAMOGGA,09,3016
SHIVAMOGGA,10,2612
SHIVAMOGGA,11,2220
SHIVAMOGGA,12,2900
TUMAKURU,01,4258
TUMAKURU,02,4135
TUMAKURU,03,3676
TUMAKURU,04,3577
TUMAKURU,05,1812
TUMAKURU,06,4049
TUMAKURU,07,4786
TUMAKURU,08,3964
TUMAKURU,09,3977
TUMAKURU,10,3807
TUMAKURU,11,4046
TUMAKURU,12,5239
UDUPI,01,1825
UDUPI,02,1761
UDUPI,03,2102
UDUPI,04,2198
UDUPI,05,1228
UDUPI,06,2128
UDUPI,07,1852
UDUPI,08,1810
UDUPI,09,1647
UDUPI,10,1973
UDUPI,11,1610
UDUPI,12,2014
UTTARA KANNADA,01,1765
UTTARA KANNADA,02,1663
UTTARA KANNADA,03,1561
UTTARA KANNADA,04,1816
UTTARA KANNADA,05,845
UTTARA KANNADA,06,1680
UTTARA KANNADA,07,1835
UTTARA KANNADA,08,2027
UTTARA KANNADA,09,2074
UTTARA KANNADA,10,3478
UTTARA KANNADA,11,1913
UTTARA KANNADA,12,1910
VIJAYAPURA,01,2422
VIJAYAPURA,02,2344
VIJAYAPURA,03,2269
VIJAYAPURA,04,1968
VIJAYAPURA,05,947
VIJAYAPURA,06,2470
VIJAYAPURA,07,2641
VIJAYAPURA,08,2650
VIJAYAPURA,09,2511
VIJAYAPURA,10,2222
VIJAYAPURA,11,2474
VIJAYAPURA,12,2365
YADGIR.,01,651
YADGIR.,02,595
YADGIR.,03,678
YADGIR.,04,768
YADGIR.,05,363
YADGIR.,06,776
YADGIR.,07,1526
YADGIR.,08,868
YADGIR.,09,764
YADGIR.,10,755
YADGIR.,11,849
YADGIR.,12,699
