Title,Website,Description
Data School - Introductory SQL Concepts,[Link](https://dataschool.com/learn-sql/),Learn how to use SQL with your PostgreSQL database.
Excel to SQL crosswalk,[Link](https://docs.google.com/document/d/1spB5gs82X1oVmCweuFWHtlZ-hA3xSlYhvIbL7dmAx88/edit?usp=sharing),Compares how to do something in spreadsheets (such as Excel) to doing the same things with structured query language (SQL).
Select Star SQL,[Link](https://selectstarsql.com/),This is an interactive book which aims to be the best place on the internet for learning SQL.
Khan Academy - Intro to SQL: Querying and managing data,[Link](https://www.khanacademy.org/computing/computer-programming/sql),"Khan Academy offers an Intro to SQL tutorial with free videos and exercises. It covers basic functions, joins, database modification, and more. "
SQL Tutorial - W3 Schools,[Link](https://www.w3schools.com/sql/),"This SQL tutorial will teach you how to use SQL in: MySQL, SQL Server, MS Access, Oracle, Sybase, Informix, Postgres, and other database systems.
"
